areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-09-02,137559,6186,29978
E92000001,England,nation,2021-09-01,137456,6236,30936
E92000001,England,nation,2021-08-31,137357,6293,32854
E92000001,England,nation,2021-08-30,137261,6002,24399
E92000001,England,nation,2021-08-29,137169,5855,18737
E92000001,England,nation,2021-08-28,137057,5756,19694
E92000001,England,nation,2021-08-27,136954,5889,23712
E92000001,England,nation,2021-08-26,136842,5893,25899
E92000001,England,nation,2021-08-25,136737,5922,27247
E92000001,England,nation,2021-08-24,136653,5911,27550
E92000001,England,nation,2021-08-23,136550,6000,29666
E92000001,England,nation,2021-08-22,136454,5749,21953
E92000001,England,nation,2021-08-21,136347,5575,22148
E92000001,England,nation,2021-08-20,136255,5576,25004
E92000001,England,nation,2021-08-19,136149,5554,28393
E92000001,England,nation,2021-08-18,136052,5514,30697
E92000001,England,nation,2021-08-17,135965,5437,30331
E92000001,England,nation,2021-08-16,135880,5429,30152
E92000001,England,nation,2021-08-15,135805,5115,20841
E92000001,England,nation,2021-08-14,135730,4973,20920
E92000001,England,nation,2021-08-13,135646,5076,24467
E92000001,England,nation,2021-08-12,135567,5029,27074
E92000001,England,nation,2021-08-11,135479,5073,28494
E92000001,England,nation,2021-08-10,135404,5096,26984
E92000001,England,nation,2021-08-09,135333,5098,27632
E92000001,England,nation,2021-08-08,135259,4939,19708
E92000001,England,nation,2021-08-07,135194,4817,19503
E92000001,England,nation,2021-08-06,135104,4879,24298
E92000001,England,nation,2021-08-05,135021,4894,27517
E92000001,England,nation,2021-08-04,134934,4944,28242
E92000001,England,nation,2021-08-03,134856,5116,26409
E92000001,England,nation,2021-08-02,134786,5309,25978
E92000001,England,nation,2021-08-01,134711,5090,18218
E92000001,England,nation,2021-07-31,134638,5057,18004
E92000001,England,nation,2021-07-30,134566,5111,21585
E92000001,England,nation,2021-07-29,134479,5056,24794
E92000001,England,nation,2021-07-28,134407,5182,26345
E92000001,England,nation,2021-07-27,134337,5163,25434
E92000001,England,nation,2021-07-26,134278,5055,25926
E92000001,England,nation,2021-07-25,134210,4725,19233
E92000001,England,nation,2021-07-24,134150,4476,19850
E92000001,England,nation,2021-07-23,134092,4401,24009
E92000001,England,nation,2021-07-22,134025,4230,27166
E92000001,England,nation,2021-07-21,133952,4063,31044
E92000001,England,nation,2021-07-20,133904,3894,35122
E92000001,England,nation,2021-07-19,133852,3813,42439
E92000001,England,nation,2021-07-18,133778,3546,32496
E92000001,England,nation,2021-07-17,133720,3442,34639
E92000001,England,nation,2021-07-16,133671,3367,50131
E92000001,England,nation,2021-07-15,133628,3241,56372
E92000001,England,nation,2021-07-14,133585,3110,49282
E92000001,England,nation,2021-07-13,133549,2970,42312
E92000001,England,nation,2021-07-12,133510,2798,39638
E92000001,England,nation,2021-07-11,133478,2564,26939
E92000001,England,nation,2021-07-10,133451,2429,24927
E92000001,England,nation,2021-07-09,133417,2352,28457
E92000001,England,nation,2021-07-08,133378,2209,29279
E92000001,England,nation,2021-07-07,133349,2144,33513
E92000001,England,nation,2021-07-06,133321,1998,30959
E92000001,England,nation,2021-07-05,133299,1888,29526
E92000001,England,nation,2021-07-04,133278,1744,21319
E92000001,England,nation,2021-07-03,133255,1636,20209
E92000001,England,nation,2021-07-02,133228,1611,21743
E92000001,England,nation,2021-07-01,133202,1560,23615
E92000001,England,nation,2021-06-30,133177,1500,23406
E92000001,England,nation,2021-06-29,133154,1445,22679
E92000001,England,nation,2021-06-28,133133,1465,22875
E92000001,England,nation,2021-06-27,133120,1331,15044
E92000001,England,nation,2021-06-26,133100,1276,13179
E92000001,England,nation,2021-06-25,133090,1284,14518
